,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,611123.6654103382,(intercept),(intercept),,,611123.6654103381
ACV Weighted Distribution,1587.1199577195302,Distribution,positive,yes,3.2555509807153737,26343.538393653573
Seasonality_Index,151621.0267709918,Seasonality,positive,,12.32193023334274,151621.0267709918
Price per Volume,-18668.352024192223,Price,negative,,-9.431690176296527,-222616.43648730937
Unemployment_Rate,-8844.109018731655,Macro,unconstrained,,-4.759312337984921,-35997.22449643375
Weighted Weeks Display Only,392954.14355449844,Trade,positive,,3.0571884610329256,4161.443264363432
SNAP_Participants,-0.006906936986752044,Macro,unconstrained,,-5.427103089380548,-290377.83696012147
_C_COMPETITOR1__Weighted Weeks Price Reductions Only,-22400.690160560694,Competitive,negative,,-4.5764522367934095,-17267.059137128956
T5YIE,-19406.80512447314,Macro,unconstrained,,-5.096284637997231,-45024.254398516256
Weighted Weeks Feature Only,2011528.9181871624,Trade,positive,,2.2180603612221277,279.99078034681384
