,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,91106.05647452165,91106.05647452165,0.0,0.0
ACV Weighted Distribution,78452.09295200743,32531.511195032792,-45920.581756974636,-58.533278117979926
Seasonality_Index,296362.5509912553,296362.5509912553,0.0,0.0
_C_COMPETITOR3__Weighted Weeks Display Only,-43213.00468908327,-52367.70697325638,-9154.702284173116,-21.185063038409435
UMCSENT,1211.73143839965,1072.2960810960283,-139.43535730362169,-11.507117244376843
CFNAI,2670.686738023225,1428.3849580202725,-1242.3017800029527,-46.5161923454367
