,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,248231.32044244066,(intercept),(intercept),,,248231.3204424406
ACV Weighted Distribution,3960.6339561278346,Distribution,positive,yes,4.306815188483161,118286.93392022891
Weighted Weeks Feature and Display,628356.3888898708,Trade,positive,,6.700054260332764,5275.906720538968
_C_COMPETITOR10__ACV Weighted Distribution,-7939.53622125439,Competitive,negative,,-4.25528505421666,-320358.14161281043
Weighted Weeks Price Reductions Only,143741.01303482518,Trade,positive,,5.080170831230096,19362.186190548106
_C_COMPETITOR3__Weighted Weeks Price Reductions Only,-22751.88993055,Competitive,negative,,-3.2261977401042077,-20934.78075446735
PSAVERT,4050.399630975198,Macro,unconstrained,,2.099016831043188,18187.85218909055
CFNAI,3257.5203299974714,Macro,unconstrained,,1.245645675092759,-489.8809419342351
Unemployment_Rate,4369.1375545285155,Macro,unconstrained,,1.7748138148008998,17783.230065691543
