,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-264593.75829930144,(intercept),(intercept),,,-264593.75829930144
ACV Weighted Distribution,6317.0394784911705,Distribution,positive,yes,5.381969401342785,514179.85504874587
Price per Volume,-60788.75800010994,Price,negative,,-7.349485736292717,-402828.3405270092
Seasonality_Index,394943.8668467762,Seasonality,positive,,14.979246556247904,394943.8668467762
UMCSENT,2731.8985678446656,Macro,unconstrained,,9.406345700978115,182270.17098615927
Median_CPI,-13504.008179344162,Macro,unconstrained,,-7.0453616359451745,-50881.395458281724
T5YIE,-59544.73500159171,Macro,unconstrained,,-6.051784586243295,-138145.21656751493
Total Category Price Per Volume,16296.112556347458,Category Price,positive,,1.929423608671941,176504.26322973624
Gas_Price,20036.000533628816,Macro,unconstrained,,2.0942500467353713,64939.952844962834
Brand 0210_Instacart_Spend,0.15184305042839696,Media,positive,,2.2234660281293372,5690.381000234602
