,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,411635.5784581485,(intercept),(intercept),,,411635.5784581486
ACV Weighted Distribution,214.39810381600458,Distribution,positive,yes,12.059811662041286,7713.821796048007
Weighted Weeks Display Only,74320.47659857364,Trade,positive,,25.75726876260981,3410.7254153234744
Price per Volume,-1019.5640252552663,Price,negative,,-2.323273701839517,-8086.8290117186925
Median_CPI,668.2485303295996,Macro,unconstrained,,4.781704388363015,2282.6838904621036
CFNAI,1584.0480353754417,Macro,unconstrained,,3.316633555559605,-239.73957766162937
T5YIE,-5161.669554550512,Macro,unconstrained,,-4.664618923079825,-12043.341409559922
_C_Competitor3__ACV Weighted Distribution,-2626.5511454210023,Competitive,negative,,-1.9650543294271716,-393580.96632160206
Brand 1_Instacart_Spend,0.037681259357412955,Media,positive,,2.0311854057755308,476.4481663864398
_C_Competitor2 __Weighted Weeks Display Only,-71.7999041489149,Competitive,negative,,-0.11724669091392649,-38.745934471131704
