,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,2624382.0303767473,2624382.0303767473,0.0,0.0
ACV Weighted Distribution,274169.8122672656,184332.62006594826,-89837.19220131732,-32.76698899065607
Weighted Weeks Display Only,182977.6831727571,38380.6963013531,-144596.986871404,-79.02438393805859
Price per Volume,-199165.50313547367,-243370.04875273176,-44204.54561725809,-22.19488059997512
Unemployment_Rate,387519.15979431523,416583.0967788889,29063.936984573666,7.500000000000007
_C_COMPETITOR4__Avg Weekly Items per Store Selling,-646417.9202104787,-589088.2434058242,57329.67680465453,8.868825416533555
_C_COMPETITOR3__ACV Weighted Distribution,-895694.8192965442,-988998.6223879505,-93303.80309140636,-10.416918919402121
Gas_Price,-811064.0752158685,-750528.6772079077,60535.398007960874,7.463701063550261
T5YIE,-542362.8803474177,-586868.4941217897,-44505.61377437203,-8.205873850707366
Seasonality_Index,45773.43732101445,45773.43732101445,0.0,0.0
_C_COMPETITOR1__Weighted Weeks Price Reductions Only,-69340.45144959823,-27854.864509485393,41485.58694011284,59.82883882760358
