,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,-618395.7445520778,-618395.7445520778,0.0,0.0
ACV Weighted Distribution,3.1472168422551036e-22,3.473064137538457e-22,3.258472952833534e-23,10.353506339584504
Total Points of Distribution,802819.8033713012,809034.4878131689,6214.68444186775,0.7741070182586766
Seasonality_Index,4879380.514151391,4879380.514151391,0.0,0.0
Median_CPI,819817.1294017144,678129.8487003354,-141687.28070137906,-17.282790956658776
