,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,51736.06947141081,51736.06947141081,0.0,0.0
ACV Weighted Distribution,321954.83878753,355057.6349380848,33102.79615055479,10.281813522424041
Seasonality_Index,277861.5990215944,277861.5990215944,0.0,0.0
Price per Volume,-275776.3132321755,-268863.13619654416,6913.177035631321,2.506805952479005
