,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-34031565.63794621,-34031565.63794621,0.0,0.0
ACV Weighted Distribution,3740357.328362597,4009343.731404894,268986.4030422969,7.1914627247672644
Price per Volume,-21182259.969896454,-19792994.685807683,1389265.2840887718,6.5586263508386295
PCEC96,86125716.39052482,88687411.1142801,2561694.723755285,2.974366810651124
Seasonality_Index,1718260.9385695937,1718260.9385695937,0.0,0.0
Trend,-2517885.4395135636,-4516817.391493797,-1998931.9519802337,-79.38931297709924
_C_COMPETITOR10__ACV Weighted Distribution,-7922641.005484915,-7553973.061666295,368667.9438186204,4.653346574247
_C_COMPETITOR1__ACV Weighted Distribution,-38843170.75303254,-38723342.16177666,119828.59125588089,0.3084933308296561
Brand8_Meta_Spend,337714.33661900734,374463.38137644995,36749.04475744261,10.881695199958617
Avg Weekly Items per Store Selling,16213188.327400755,14684637.923019089,-1528550.4043816663,-9.427821188003916
Fedfunds,8160122.027570659,6758044.282031016,-1402077.7455396429,-17.18206836616454
Brand8_Instacart_CTV_Spend,0.0,87813.01547810806,87813.01547810806,
_C_COMPETITOR10__Weighted Weeks Feature Only,-206099.9986421685,-211637.6101126322,-5537.611470463686,-2.686856626369079
Weighted Weeks Display Only,473266.3803572157,508386.448427629,35120.06807041331,7.420782360222823
