,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-689031.9270088525,-689031.9270088525,0.0,0.0
ACV Weighted Distribution,625738.9194814767,416047.2390392434,-209691.68044223328,-33.511049722781486
Avg Weekly Items per Store Selling,812669.6198827426,763800.8899121134,-48868.72997062921,-6.013357553304418
Price per Volume,-149109.38349969967,-141316.36415909088,7793.019340608793,5.226377547610536
_C_Competitor4__Weighted Weeks Price Reductions Only,-10025.250930359483,-14365.36929487302,-4340.118364513537,-43.29186765161508
