,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,82008.2837497642,82008.2837497642,0.0,0.0
ACV Weighted Distribution,186531.16367862298,160691.17479452083,-25839.988884102146,-13.852907136001255
_C_COMPETITOR5__Weighted Weeks Price Reductions Only,-3491.466051678816,-4750.641292124811,-1259.1752404459953,-36.064370147335126
Median_CPI,50185.37215548351,43326.39419180203,-6858.977963681478,-13.667285244854027
Weighted Weeks Price Reductions Only,8300.212326804745,1746.7594223464603,-6553.452904458285,-78.95524411218413
_C_COMPETITOR4__Weighted Weeks Display Only,-185584.7122068167,-187650.5972094899,-2065.885002673196,-1.1131762838153185
Seasonality_Index,94889.09049373066,94889.09049373066,0.0,0.0
Weighted Weeks Display Only,10608.669418013527,7044.131073204137,-3564.5383448093908,-33.60023961871036
CFNAI,-2976.8612558998934,-1592.1387482487164,1384.722507651177,46.5161923454367
T5YIE,-15682.150574835163,-16969.008068084117,-1286.8574932489537,-8.205873850707366
