,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,9777830.368206045,9777830.368206045,0.0,0.0
ACV Weighted Distribution,1896165.018413317,2225246.8659146023,329081.8475012854,17.35512702247066
Price per Volume,-7987508.005838301,-8193866.933891285,-206358.92805298418,-2.5835207664536983
PSAVERT,4357736.037564972,3935103.121126316,-422632.9164386564,-9.698451507742455
_C_COMPETITOR6__Weighted Weeks Display Only,-1250700.9609149592,-1303524.549865524,-52823.58895056485,-4.22351869882001
_C_COMPETITOR8__Avg Weekly Items per Store Selling,-857405.9515703961,-905593.8728985827,-48187.92132818664,-5.6201990713882095
Median_CPI,-936960.2106673411,-808903.1860446505,128057.02462269063,13.667285244854016
_C_COMPETITOR2__Weighted Weeks Display Only,-605343.6668036194,-862529.3651897738,-257185.6983861545,-42.4858989182402
_C_COMPETITOR2__Weighted Weeks Feature and Display,-125334.63458103285,-153199.96794421563,-27865.333363182785,-22.23274792026218
_C_COMPETITOR2__Weighted Weeks Special Pack Only,-401578.14246898156,-362558.72828989,39019.414179091575,9.716518418854305
_C_COMPETITOR7__Avg Weekly Items per Store Selling,-1056580.8634898367,-1221731.5275197579,-165150.66402992117,-15.630669619023415
_C_COMPETITOR4__Weighted Weeks Feature Only,-145814.4902977878,-142183.43291771456,3631.057380073238,2.49018967364475
