,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,438380.6058866634,(intercept),(intercept),,,438380.60588666337
ACV Weighted Distribution,593.6779494367452,Distribution,positive,yes,0.7475172692233356,6934.53028968553
Seasonality_Index,61525.674558104554,Seasonality,positive,,10.491050793567677,61525.674558104554
Price per Volume,-12901.232561921859,Price,negative,,-9.544035526212141,-147084.52561168495
_C_COMPETITOR6__ACV Weighted Distribution,-952.7901397908802,Competitive,negative,,-3.688029494814748,-114647.0164797214
T5YIE,-14475.085504014782,Macro,unconstrained,,-3.296367689961477,-33582.54632810045
_C_COMPETITOR10__Weighted Weeks Price Reductions Only,-28652.81818619555,Competitive,negative,,-2.9462972340877833,-27541.86644093284
Weighted Weeks Feature and Display,372928.9157156771,Trade,positive,,2.7607752314981555,2611.5576939225266
_C_COMPETITOR1__ACV Weighted Distribution,-3123.7582761010835,Competitive,negative,,-2.7697565647798217,-86853.3991771591
Weighted Weeks Display Only,332813.8649563928,Trade,positive,,2.225048286079781,8706.59051095843
