,Year 1 (Dec 2023-Nov 2024),Year 2 (Dec 2024-Nov 2025),YoY_change,YoY_pct
Intercept,751131.6286115298,751131.6286115298,0.0,0.0
ACV Weighted Distribution,141132.3488617848,135492.53481641223,-5639.814045372565,-3.996117184229539
Price per Volume,-1447553.2941916715,-1432403.3330633112,15149.961128360359,1.0465909054367668
Seasonality_Index,87851.02788665498,87851.02788665498,0.0,0.0
Unempclaims,484542.93969047966,496531.37078795227,11988.43109747261,2.4741731053042852
Median_CPI,121636.90847356121,99218.46163019992,-22418.446843361293,-18.430628601707784
