,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-662938.4877063156,-662938.4877063156,0.0,0.0
ACV Weighted Distribution,1247129.4503826096,1254237.1184759531,7107.668093343498,0.5699222395207587
Avg Weekly Items per Store Selling,832316.12370522,967893.1942969537,135577.0705917338,16.28913182507935
Brand 0210_Absco_Spend,110204.50250932622,196157.95571629627,85953.45320697005,77.99450226609036
Gas_Price,-2270704.784128083,-2101226.1670050286,169478.61712305434,7.463701063550259
UMCSENT,-640263.4961867878,-566587.6250076279,73675.87117915996,11.507117244376849
T5YIE,1252200.1979473587,1354954.166549227,102753.96860186826,8.205873850707372
Brand 0210_TTD_Walmart_Audio_Spend,0.0,35926.304790400056,35926.304790400056,
Brand 0210_Doordash_Spend,21505.03195556973,134114.8700462457,112609.83809067596,523.6441327933502
Brand 0210_Google_Ads_Spend,33243.93609925988,88745.58306526634,55501.64696600646,166.95269417041777
PSAVERT,731895.7423596549,660913.188699672,-70982.55365998286,-9.698451507742465
Median_CPI,-245745.98118684033,-212159.17696026957,33586.80422657076,13.66728524485402
Seasonality_Index,257027.50341358656,257027.50341358656,0.0,0.0
