,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,4274123.234439381,4274123.234439381,0.0,0.0
ACV Weighted Distribution,2844402.2857141383,2453104.5163958888,-391297.76931824954,-13.756766097521512
Price per Volume,-12869573.60232151,-13721659.162672907,-852085.5603513978,-6.620930783578505
Seasonality_Index,4553684.99532907,4553684.99532907,0.0,0.0
T5YIE,-7457033.096478002,-8068947.8253804855,-611914.7289024834,-8.205873850707382
UMCSENT,8835239.59997217,7818558.220381763,-1016681.379590407,-11.507117244376818
Gas_Price,6071574.134428399,5618409.991182823,-453164.14324557595,-7.463701063550278
Avg Weekly Items per Store Selling,6319041.539715477,6135421.348640509,-183620.19107496832,-2.905823453144067
Median_CPI,-1016930.2271450236,-877943.4722599712,138986.75488505245,13.667285244854035
_C_COMPETITOR3__Weighted Weeks Display Only,-631627.0629400008,-551830.166649103,79796.89629089774,12.633546118095603
Unemployment_Rate,-1921501.393693199,-2065613.998220189,-144112.6045269901,-7.50000000000001
