,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,1603132.4064573837,1603132.4064573837,0.0,0.0
ACV Weighted Distribution,15151.723190798228,17702.699637899277,2550.9764471010494,16.836213379678686
Price per Volume,-1504497.2063186914,-1350973.9249922798,153523.28132641152,10.204291552130096
Seasonality_Index,502141.691407345,502141.691407345,0.0,0.0
PSAVERT,321912.4791007719,290691.9534178119,-31220.525682959997,-9.698451507742476
Gas_Price,-709168.4488747837,-656238.2358137536,52930.21306103014,7.463701063550264
Brand8_Absco_Spend,43138.32336107628,78968.54069568892,35830.21733461264,83.05890109522024
Total Points of Distribution,337099.9125868857,348387.4047185417,11287.492131656036,3.348411467993705
Brand8_Instacart_CTV_Spend,0.0,12645.249420321477,12645.249420321477,
CFNAI,11595.432480971245,6201.678804837417,-5393.753676133828,-46.51619234543671
