,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,118455.28790600727,(intercept),(intercept),,,118455.2879060073
ACV Weighted Distribution,563.4249896022034,Distribution,positive,yes,5.499758328595753,73202.53873597355
Seasonality_Index,40978.78871128442,Seasonality,positive,,20.66265057661169,40978.78871128441
Gas_Price,-9711.54918701292,Macro,unconstrained,,-6.721825596944115,-31476.71837987983
Brand 0210_TTD_Instacart_Display_Spend,0.276942500844637,Media,positive,,3.060285314511876,2326.521070948861
SNAP_Participants,-0.0038961447855854203,Macro,unconstrained,,-7.345614199359162,-163799.68392527135
Unemployment_Rate,2947.0901423365494,Macro,unconstrained,,3.6693796381471357,11995.223627414052
Weighted Weeks Display Only,27918.04074710728,Trade,positive,,3.105093391846733,1886.8773920428755
Brand 0210_Doordash_Spend,0.40598377945583264,Media,positive,,4.958793728912767,2611.223543073575
_C_COMPETITOR3__Weighted Weeks Price Reductions Only,-6107.96534754357,Competitive,negative,,-2.1926827670907936,-387.0938683647491
Median_CPI,-1135.942931995155,Macro,unconstrained,,-3.3177819395760655,-4280.089346309366
CFNAI,-2365.5982461884473,Macro,unconstrained,,-3.440695426188123,355.7495824075703
