,Year 1 (Jan 2023-Jun 2023)
Intercept,-981151.1196857936
ACV Weighted Distribution,900540.4553961449
Fedfunds,3612469.4461408546
_C_Competitor8__Avg Weekly Items per Store Selling,-2920816.954536431
Seasonality_Index,376273.97050723195
