,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-7248498.852934709,-7248498.852934709,0.0,0.0
ACV Weighted Distribution,3252634.560800406,3229430.6762758093,-23203.884524596855,-0.7133873815473096
Seasonality_Index,3625445.206151931,3625445.206151931,0.0,0.0
Total Category Price Per Volume,3700747.2333083358,3732754.375151548,32007.141843212303,0.8648832202084513
BRAND 3_Absco_Spend,117220.05038565819,262720.81196669856,145500.76158104037,124.12617218840771
Median_CPI,251871.9531786792,217447.89488596393,-34424.05829271526,-13.667285244854025
CFNAI,32144.15001972543,17191.91536874422,-14952.234650981212,-46.5161923454367
_C_COMPETITOR7__Weighted Weeks Display Only,-306885.36331539525,-232069.97748068144,74815.38583471382,24.378935843161674
_C_COMPETITOR2__Weighted Weeks Price Reductions Only,-227637.06600379938,-242608.65334850986,-14971.587344710482,-6.576954978175917
BRAND 3_Amazon_Spend,163136.42373857973,140888.62698806872,-22247.796750511014,-13.637541047339807
