,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,21405050.079823725,21405050.079823725,0.0,0.0
ACV Weighted Distribution,347378.2692456728,454859.1975433201,107480.92829764728,30.940602165771814
Weighted Weeks Display Only,261659.96069089978,93055.48250274152,-168604.47818815825,-64.43648380247659
Price per Volume,-401574.28704291343,-439455.9301758306,-37881.643132917176,-9.433284041134096
Median_CPI,129927.07465871307,107472.04994934572,-22455.024709367353,-17.282790956658772
CFNAI,-13638.653584582553,-11294.262492226899,2344.391092355654,17.189314750290364
T5YIE,-604911.5401064381,-647595.9664877936,-42684.4263813555,-7.056308823905873
_C_Competitor3__ACV Weighted Distribution,-20455870.65227647,-20476549.845170155,-20679.19289368391,-0.10109172689446289
Brand 1_Instacart_Spend,22391.343171307726,25218.36163454244,2827.0184632347155,12.62549745947022
_C_Competitor2 __Weighted Weeks Display Only,-1812.8691089766553,-2216.708076021042,-403.83896704438666,-22.276234122183773
