,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-266913.94816661946,(intercept),(intercept),,,-266913.94816661946
ACV Weighted Distribution,712.2141937768424,Distribution,positive,yes,9.382074028074477,87019.68565343054
Seasonality_Index,50258.72659561124,Seasonality,positive,,9.064912358803783,50258.72659561124
Gas_Price,-19899.473842478652,Macro,unconstrained,,-8.061214680403754,-64497.44752208217
BRAND 3_Doordash_Spend,1.431633513819725,Media,positive,,3.899060617657208,3612.6588025589244
Avg Weekly Items per Store Selling,8893.7307004726,Distribution,positive,,9.905812015983662,56985.75587725981
BRAND 3_Instacart_Spend,0.31161970818772755,Media,positive,,6.147527178864764,3766.991661510177
SNAP_Participants,0.005451168379863702,Macro,unconstrained,,6.3535462898689605,229175.1736097107
UMCSENT,-315.8368381642551,Macro,unconstrained,,-4.24503118492269,-21072.390890905128
BRAND 3_Amazon_Spend,2.6720745098851304,Media,positive,,2.7260966335218595,2249.7595936737366
