,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-12419.10653045361,-12419.10653045361,0.0,0.0
ACV Weighted Distribution,90937.2168219494,81787.8256675554,-9149.391154394005,-10.061217479646494
Seasonality_Index,389962.90273866826,389962.90273866826,0.0,0.0
_C_COMPETITOR5__ACV Weighted Distribution,-17309.83950423056,-17662.285255910327,-352.44575167976654,-2.036100632785348
_C_COMPETITOR4__Weighted Weeks Feature and Display,-9493.88194832932,-9343.048712659052,150.83323567026673,1.5887414283343761
Unemployment_Rate,-98615.45389704412,-106011.61293932244,-7396.159042278319,-7.500000000000011
_C_COMPETITOR2__Avg Weekly Items per Store Selling,-22464.12972722735,-24036.95169051616,-1572.8219632888104,-7.001481839656991
_C_COMPETITOR6__Weighted Weeks Feature Only,-8139.102489403542,-6420.709128538991,1718.3933608645511,21.112811432240367
CFNAI,-2680.016735759339,-1433.3749960636308,1246.6417396957083,46.51619234543671
_C_COMPETITOR2__Weighted Weeks Display Only,-4251.642947713465,-2805.0404325003565,1446.6025152131087,34.02455316693731
_C_COMPETITOR3__Weighted Weeks Price Reductions Only,-2768.9922608362936,-3778.760603367292,-1009.7683425309983,-36.466997644335315
