,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-2626.6324217706915,(intercept),(intercept),,,-2626.6324217706924
ACV Weighted Distribution,219.07587853145282,Distribution,positive,yes,42.912541084245284,2732.966379859755
Price per Volume,-141.2829589633055,Price,negative,,-11.295296436961708,-1416.0171627103532
Avg Weekly Items per Store Selling,1703.1466556029618,Distribution,positive,,4.774231230439111,3018.809707608925
PSAVERT,131.85156484552527,Macro,unconstrained,,5.198799081699325,592.0642382967337
Median_CPI,-19.33989461674667,Macro,unconstrained,,-1.4927910754633065,-72.87027770179951
CFNAI,72.34859223424068,Macro,unconstrained,,2.2789382669949574,-10.880115216764658
