,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,1414835.2682489357,1414835.2682489357,0.0,0.0
ACV Weighted Distribution,964937.3580563719,863328.3094758604,-101609.04858051147,-10.530118637460344
T5YIE,-483599.6772071803,-517723.96390233084,-34124.28669515054,-7.056308823905864
_C_Competitor6__Weighted Weeks Price Reductions Only,-50091.25268574984,-43556.11544897433,6535.13723677551,13.046463976004045
Price per Volume,-1005875.4468595667,-996121.2673762669,9754.179483299842,0.9697204076064552
_C_Competitor7__Weighted Weeks Price Reductions Only,-7469.69282105502,-28999.973480939207,-21530.280659884185,-288.23515472010064
Brand 0210_Instacart_Spend,7903.621695560825,5909.785360440399,-1993.8363351204262,-25.226869553236476
Brand 0210_TikTok_Spend,4.393457933470684e-19,6.654838753878104e-19,2.2613808204074194e-19,51.47154825768423
