,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,-1562413.5969469408,-1562413.5969469408,0.0,0.0
ACV Weighted Distribution,2747371.873694004,2622387.50136669,-124984.37232731422,-4.549233888722364
Seasonality_Index,2785036.6410743073,2785036.6410743073,0.0,0.0
_C_Competitor6__Avg Weekly Items per Store Selling,-1064447.2234481068,-1022451.521315313,41995.70213279384,3.945306184063825
Weighted Weeks Price Reductions Only,51213.74375953184,20299.582030933154,-30914.161728598687,-60.36301871183745
Brand 0210_Instacart_Spend,17339.74425348968,12965.46958979702,-4374.27466369266,-25.22686955323648
T5YIE,-8002.008367450124,-8566.654789972192,-564.646422522068,-7.056308823905855
Brand 0210_TTD_Walmart_Audio_Spend,0.0,8996.53608149959,8996.53608149959,
