,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,405791.6036663453,405791.6036663453,0.0,0.0
ACV Weighted Distribution,707450.514395711,639050.2754579529,-68400.23893775814,-9.668554555534412
Seasonality_Index,1651729.172004775,1651729.172004775,0.0,0.0
T5YIE,-729895.9099213154,-789790.2475309313,-59894.337609615875,-8.205873850707375
PSAVERT,-384472.595941115,-347184.7076632074,37287.88827790762,9.698451507742455
UMCSENT,196572.68380264702,173952.8346070583,-22619.84919558873,-11.507117244376827
_C_COMPETITOR9__Weighted Weeks Price Reductions Only,-19599.583354956147,-29677.865580137146,-10078.282225181,-51.42090034598875
_C_COMPETITOR2__Weighted Weeks Feature and Display,-13860.837841443989,-15520.968899974094,-1660.1310585301053,-11.977133543589288
_C_COMPETITOR6__Weighted Weeks Feature Only,-16191.440937128358,-14054.085200293948,2137.35573683441,13.200528261405509
