,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,9455981.855522126,9455981.855522126,0.0,0.0
ACV Weighted Distribution,2.833159143875098e-11,2.8342792413649755e-11,1.1200974898774934e-14,0.03953528315904847
Seasonality_Index,36448720.40376764,36448720.40376764,0.0,0.0
Unemployment_Rate,-8814491.136867743,-9475577.972132824,-661086.8352650814,-7.500000000000008
Price per Volume,-24871173.307294156,-24180230.884070672,690942.4232234843,2.7780853548266116
_C_COMPETITOR6__Weighted Weeks Display Only,0.0,-1364905.47914744,-1364905.47914744,
_C_COMPETITOR1__Weighted Weeks Feature Only,-695870.5363648146,-676801.2275169912,19069.308847823413,2.7403529609746555
T5YIE,12022813.315535031,13009390.209513884,986576.8939788528,8.20587385070737
Gas_Price,9167508.381710567,8483272.961123776,-684235.4205867909,-7.463701063550261
Weighted Weeks Feature Only,44389.384550924646,266648.0845257382,222258.69997481356,500.70236887342435
