,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,142858464.2520689,142858464.2520689,0.0,0.0
ACV Weighted Distribution,33286091.514789496,33897266.8113969,611175.2966074012,1.8361281508099174
Price per Volume,-127647934.49172014,-123881619.32803382,3766315.16368632,2.95054924208791
_C_COMPETITOR7__Weighted Weeks Feature and Display,-266279.0435191414,-351154.6566782206,-84875.61315907922,-31.874687559848457
