,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-616.5001848901665,(intercept),(intercept),,,-616.5001848901665
ACV Weighted Distribution,101.471995488013,Distribution,positive,yes,18.731278292296754,168.93663246546646
Seasonality_Index,121.96588792296807,Seasonality,positive,,17.03707221436483,121.96588792296804
Avg Weekly Items per Store Selling,373.63238498642437,Distribution,positive,,5.323482002766993,571.4767980324244
PSAVERT,-20.528704236593583,Macro,unconstrained,,-6.126534127089381,-92.1817776777808
Brand 0210_Amazon_Spend,0.0007990689120518368,Media,positive,,3.3452192821496647,9.132260844347634
Brand 0210_Meta_Spend,4.952986664363834e-05,Media,positive,,1.0330347458762916,2.952710374185162
