,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,5966247.108744713,5966247.108744713,0.0,0.0
ACV Weighted Distribution,4.182456107618671e-14,4.1157970657111e-14,-6.665904190757047e-16,-1.5937774406322116
Seasonality_Index,12210845.80754896,12210845.80754896,0.0,0.0
Unemployment_Rate,7298698.441696252,7917706.407283332,619007.9655870805,8.481073310972691
BRAND 3_Doordash_Spend,222549.37179318222,1184686.3998180542,962137.028024872,432.32520508707495
Price per Volume,-18393991.38039258,-17731098.047133587,662893.3332589939,3.60385801836146
CFNAI,183656.7253893623,152087.3928021084,-31569.332587253914,-17.189314750290357
T5YIE,5225196.388319672,5593902.382135083,368705.9938154109,7.056308823905852
Median_CPI,-298796.94928391324,-247156.49715430077,51640.45212961247,17.28279095665878
