,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,30829.469354949688,(intercept),(intercept),,,30829.469354949677
ACV Weighted Distribution,5.305037616158447,Distribution,positive,yes,0.12212514967599167,315.9079118143991
Price per Volume,-2537.6083469551463,Price,negative,,-8.21137020810033,-27456.453185682418
Seasonality_Index,9656.570988602787,Seasonality,positive,,8.778583479150639,9656.570988602789
PSAVERT,1311.7867934016783,Macro,unconstrained,,3.704765295883379,5890.427235755613
Gas_Price,-4050.6782781839893,Macro,unconstrained,,-3.964586653567364,-13128.910429697473
Brand8_Absco_Spend,5.988922810637475,Media,positive,,3.3539899085628835,1539.8166289891183
Total Points of Distribution,26.823931634955738,Distribution,positive,,2.5158906416697824,6591.224204859879
Brand8_Instacart_CTV_Spend,0.2408848192837958,Media,positive,,2.7894319690276093,2125.5981425827595
CFNAI,-1137.92271648393,Macro,unconstrained,,-2.5217774678191303,171.12607005585252
