,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,63722521.588600904,63722521.588600904,0.0,0.0
ACV Weighted Distribution,34104608.08856268,34052327.62389225,-52280.464670434594,-0.15329443028541168
Unempclaims,-20066969.880014356,-20775422.69312393,-708452.813109573,-3.5304424003504113
_C_COMPETITOR2__Weighted Weeks Display Only,-1453584.6706226983,-3111671.070009048,-1658086.3993863498,-114.06878683414057
Median_CPI,2690859.722001347,2323092.248256537,-367767.4737448101,-13.667285244854021
BRAND 3_TikTok_Spend,266794.33373463183,545913.4004829281,279119.0667482963,104.61956325726294
_C_COMPETITOR4__Weighted Weeks Price Reductions Only,-57390.361029991946,-117529.46540061665,-60139.10437062471,-104.7895557569263
T5YIE,9428461.11372192,10202148.73877694,773687.6250550207,8.205873850707377
SNAP_Participants,-73394678.42685233,-74560040.89587665,-1165362.4690243155,-1.5878024047557564
Unemployment_Rate,-1039817.9804598256,-1117804.3289943126,-77986.34853448696,-7.5000000000000036
