,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,15281410.338229172,15281410.338229172,0.0,0.0
ACV Weighted Distribution,7347969.341415378,7050455.490776827,-297513.85063855164,-4.048926129314035
Seasonality_Index,4393642.160427571,4393642.160427571,0.0,0.0
Price per Volume,-15860181.17123128,-15891136.872108499,-30955.70087721944,-0.19517873436004543
_C_Competitor7__Weighted Weeks Price Reductions Only,-110926.3926071324,-149193.41451489116,-38267.02190775877,-34.49767094048478
_C_Competitor9__Weighted Weeks Price Reductions Only,-388402.2062538646,-440187.6059210425,-51785.39966717787,-13.332931387452076
T5YIE,-3288678.6878869287,-3520738.0123302056,-232059.32444327697,-7.056308823905864
Weighted Weeks Feature and Display,126578.46894589032,146561.1065168869,19982.637570996594,15.786758788762691
_C_Competitor9__Weighted Weeks Feature Only,-195359.30618269744,-210233.95687144704,-14874.650688749593,-7.613996476235954
Gas_Price,3332458.713825331,3130665.861249758,-201792.85257557314,-6.055374421846476
_C_Competitor8__Avg Weekly Items per Store Selling,-2356845.8194006197,-2384540.6577967885,-27694.83839616878,-1.175080616992247
