,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,1577.0823798031577,(intercept),(intercept),,,1577.0823798031574
ACV Weighted Distribution,404.94125370399513,Distribution,positive,yes,14.660908240728519,3338.676331472537
_C_COMPETITOR5__Weighted Weeks Price Reductions Only,-3698.5394651809365,Competitive,negative,,-2.2560361262270523,-79.25103215195796
Median_CPI,238.63635115866887,Macro,unconstrained,,6.037691440826954,899.15159949313
Weighted Weeks Price Reductions Only,10272.167702769966,Trade,positive,,4.5935646611868854,96.60549758799236
_C_COMPETITOR4__Weighted Weeks Display Only,-2739.8646485252125,Competitive,negative,,-7.185080950514793,-3588.801052079871
Seasonality_Index,1824.790201802513,Seasonality,positive,,6.96088521421445,1824.7902018025127
Weighted Weeks Display Only,10093.52191483084,Trade,positive,,2.0601879824374296,169.73846626170828
CFNAI,292.13555013737914,Macro,unconstrained,,2.8714233232524116,-43.93269234758279
T5YIE,-135.3233601397502,Macro,unconstrained,,-0.4601513467959937,-313.9534484896085
