,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,31778430.601337586,31778430.601337586,0.0,0.0
ACV Weighted Distribution,1490777.8063744546,1248950.1865655165,-241827.61980893812,-16.22157364933267
Seasonality_Index,7884293.392091574,7884293.392091574,0.0,0.0
Price per Volume,-11725695.477507068,-11426413.917173106,299281.5603339616,2.552356582243343
Unemployment_Rate,-1804198.2398212575,-1939513.107807852,-135314.86798659456,-7.500000000000013
Weighted Weeks Display Only,327260.35820086446,105529.74129293243,-221730.61690793204,-67.75358253804733
SNAP_Participants,-14980715.441908201,-15218579.601944435,-237864.16003623419,-1.5878024047557486
_C_COMPETITOR1__Weighted Weeks Price Reductions Only,-979035.4038013236,-816738.7464600877,162296.6573412359,16.57720003904689
T5YIE,-2248986.7220572564,-2433535.735388434,-184549.01333117764,-8.205873850707388
Weighted Weeks Feature Only,17199.69648893238,11919.344667136256,-5280.351821796123,-30.70026163074396
