,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,181845.80491388706,(intercept),(intercept),,,181845.80491388703
ACV Weighted Distribution,3.641123589703116e-15,Distribution,positive,yes,-1.4199087361795932,5.449459985807764e-13
Seasonality_Index,700936.9308416854,Seasonality,positive,,21.869377581893723,700936.9308416855
Unemployment_Rate,-43208.28988660658,Macro,unconstrained,,-2.5642712864470596,-175866.04912500546
Price per Volume,-103850.36336583283,Price,negative,,-3.677711131010893,-471648.11722466175
_C_COMPETITOR6__Weighted Weeks Display Only,-726673.1754280227,Competitive,negative,,-4.7460008674315945,-13124.091145648463
_C_COMPETITOR1__Weighted Weeks Feature Only,-58549.71174450738,Competitive,negative,,-4.639637006366606,-13198.76696040198
T5YIE,103746.4529132818,Macro,unconstrained,,3.5181908995558615,240694.26466393186
Gas_Price,52363.61985052359,Macro,unconstrained,,2.0032343312027625,169719.05137340713
Weighted Weeks Feature Only,68368.40345815106,Trade,positive,,1.1521120705850594,2990.744894967912
