,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-518857.7228978134,-518857.7228978134,0.0,0.0
ACV Weighted Distribution,447069.9123346201,407554.04079343873,-39515.87154118135,-8.838857290759652
_C_Competitor3__Weighted Weeks Price Reductions Only,-6570.930223021856,-1914.4868741800021,4656.4433488418545,70.8642945640722
Avg Weekly Items per Store Selling,334916.54442863,323584.2404777823,-11332.30395084765,-3.3836202299831566
PSAVERT,-50779.892600561056,-45855.02934101194,4924.863259549114,9.698451507742458
Unemployment_Rate,29917.737459917866,32161.567769411704,2243.8303094938383,7.499999999999994
