,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,1225433.1074730942,(intercept),(intercept),,,1225433.1074730942
ACV Weighted Distribution,4414.870461444922,Distribution,positive,yes,0.7021134044192816,655355.1510812974
Unempclaims,-1.7579474270709028,Macro,unconstrained,,-5.559364992431952,-392715.3132032528
_C_COMPETITOR2__Weighted Weeks Display Only,-111016.08859566425,Competitive,negative,,-5.511826174202139,-43896.68981376679
Median_CPI,12795.30106001353,Macro,unconstrained,,2.692323269815681,48211.07663709504
BRAND 3_TikTok_Spend,3.2258766025014345,Media,positive,,4.4482923058553965,41401.22135329581
_C_COMPETITOR4__Weighted Weeks Price Reductions Only,-85248.00204553253,Competitive,negative,,-0.7710155124981818,-1681.921407986621
T5YIE,81359.44319417638,Macro,unconstrained,,3.1937100188263043,188755.86396633522
SNAP_Participants,-0.03383899928030587,Macro,unconstrained,,-5.038909177567884,-1422641.5319493173
Unemployment_Rate,-5097.146963038361,Macro,unconstrained,,-0.38820043832587575,-20746.368360135944
