,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,55556.43123289847,(intercept),(intercept),,,55556.43123289849
ACV Weighted Distribution,3106.7005971969684,Distribution,positive,yes,11.968205745295771,122559.45759573363
Weighted Weeks Display Only,317594.60402714193,Trade,positive,,4.191528473888106,12879.810887725953
Seasonality_Index,61473.179684157854,Seasonality,positive,,11.055009262417268,61473.17968415786
_C_Competitor3__Weighted Weeks Display Only,-118980.73598731536,Competitive,negative,,-7.149371979819554,-68637.34082463253
T5YIE,-32130.588290562962,Macro,unconstrained,,-4.43902278571976,-74967.9227590452
_C_Competitor6__Weighted Weeks Display Only,-146377.10796160207,Competitive,negative,,-3.685787476157544,-43169.40742365615
_C_Competitor6__Weighted Weeks Feature and Display,-133779.99202294613,Competitive,negative,,-3.1689228759038475,-4619.412756128223
Brand 1_Amazon_Spend,0.9999999999999999,Media,positive,,3.8645984053942524,5270.845924068297
Weighted Weeks Feature and Display,512505.4848565023,Trade,positive,,2.6601844833953803,1156.7111550594095
Brand 1_Google_Ads_Spend,0.033945715297239644,Media,positive,,0.7539872386575633,1403.968067494732
