,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-33545.982611889805,-33545.982611889805,0.0,0.0
ACV Weighted Distribution,16524.528922046273,18685.07213372177,2160.5432116754964,13.07476432077285
Avg Weekly Items per Store Selling,30887.11368972427,29912.78006067421,-974.3336290500592,-3.154498794667911
Seasonality_Index,16648.70098955701,16648.70098955701,0.0,0.0
_C_COMPETITOR1__Weighted Weeks Price Reductions Only,-312.06541836439203,-416.5382719217369,-104.47285355734488,-33.47786951367812
Gas_Price,2761.9012471816877,2555.7611944215796,-206.14005276010812,-7.463701063550282
