,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-13758875.431563675,-13758875.431563675,0.0,0.0
ACV Weighted Distribution,26695124.208936766,26779580.716132805,84456.50719603896,0.3163742806926717
Price per Volume,-20516570.57844439,-21377576.836364564,-861006.2579201721,-4.1966382959966175
Seasonality_Index,20537081.076032363,20537081.076032363,0.0,0.0
UMCSENT,10056665.007949783,8899432.774610782,-1157232.2333390005,-11.507117244376836
Median_CPI,-2839901.2672653385,-2451763.8603959605,388137.40686937794,13.667285244854021
T5YIE,-6900430.932761958,-7466671.590259594,-566240.657497636,-8.205873850707368
Total Category Price Per Volume,9167570.403243285,9188872.972649286,21302.569406000897,0.2323687571405453
Gas_Price,3507782.7574245315,3245972.3384516034,-261810.41897292808,-7.463701063550279
Brand 0210_Instacart_Spend,325985.463344871,238902.80237841472,-87082.66096645629,-26.713663877192158
