,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,117986.4345003064,(intercept),(intercept),,,117986.4345003064
ACV Weighted Distribution,842.1287466931469,Distribution,positive,yes,7.678932342928276,40361.49437017482
Price per Volume,-15133.856384662542,Price,negative,,-11.669093293413205,-130712.16960528865
Seasonality_Index,10847.342310337019,Seasonality,positive,,4.435632229927924,10847.342310337019
_C_Competitor7__Avg Weekly Items per Store Selling,-2985.755125552183,Competitive,negative,,-4.108709575669369,-26207.408332352938
Gas_Price,6637.732157196182,Macro,unconstrained,,3.1355726620119464,21222.87208568149
_C_Competitor6__Weighted Weeks Feature Only,-2458.6583393322667,Competitive,negative,,-1.1913446668904368,-702.7027622363379
