,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,58686.98754818592,(intercept),(intercept),,,58686.98754818594
ACV Weighted Distribution,608.8930737547719,Distribution,positive,yes,15.733432311378044,49520.19850877509
Seasonality_Index,17962.253881268243,Seasonality,positive,,12.984521182441242,17962.253881268243
Price per Volume,-6997.283866330945,Price,negative,,-6.90025197606278,-50808.58303564309
SNAP_Participants,-0.0020501913854786835,Macro,unconstrained,,-5.488323203716723,-86193.07531130758
UMCSENT,174.8725627786562,Macro,unconstrained,,5.6624375172276675,11667.362871235962
Unemployment_Rate,2418.8154795881,Macro,unconstrained,,3.760293078927991,9845.044158746565
Total Category Price Per Volume,1790.3899960435547,Category Price,positive,,2.5576317567429814,18759.10781731419
Brand 0210_TTD_Walmart_Audio_Spend,0.23749814630215949,Media,positive,,2.8793302959298726,2455.767218222524
Brand 0210_TTD_Instacart_Display_Spend,0.18223364677290976,Media,positive,,2.679100865881313,1530.8969109471252
