,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-26585.462014648478,(intercept),(intercept),,,-26585.462014648478
ACV Weighted Distribution,29.92510016334353,Distribution,positive,yes,3.294131821825258,1186.8343621522183
Seasonality_Index,3823.150154557586,Seasonality,positive,,21.203531000958016,3823.150154557586
Brand 1_Absco_Spend,1.3710171564882532,Media,positive,,2.623763495320771,352.5032936541181
Unemployment_Rate,748.9942279344275,Macro,unconstrained,,5.276115288978485,3048.550545044646
SNAP_Participants,0.0004196042792088406,Macro,unconstrained,,2.796202270356948,17640.78392630168
PSAVERT,327.3211604706891,Macro,unconstrained,,2.9479240087992813,1469.7979032674214
T5YIE,669.2726096105241,Macro,unconstrained,,2.2993615392668905,1552.7285425803007
Avg Weekly Items per Store Selling,347.8617294561186,Distribution,positive,,1.8741311669032614,1000.0735516153856
