,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,95367.59391865133,(intercept),(intercept),,,95367.59391865133
ACV Weighted Distribution,949.7732679515226,Distribution,positive,yes,3.001050005147487,38064.03977735809
Price per Volume,-6288.291154936675,Price,negative,,-4.571494469297475,-91785.30032693484
Seasonality_Index,23147.506153448372,Seasonality,positive,,4.223211862074569,23147.50615344837
_C_Competitor7__Weighted Weeks Price Reductions Only,-13245.781028084208,Competitive,negative,,-1.657241170157837,-6791.8175150624
Weighted Weeks Feature and Display,212976.53019061976,Trade,positive,,2.57147734738141,1539.012470029742
T5YIE,-11129.346709260475,Macro,unconstrained,,-2.473837587400329,-25820.35189785712
Gas_Price,4127.309301119666,Macro,unconstrained,,1.0699971157475372,13377.284101256908
