,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,82194.67758537272,(intercept),(intercept),,,82194.67758537272
ACV Weighted Distribution,600.468659995858,Distribution,positive,yes,2.1618446435492236,50937.56540490411
Price per Volume,-47069.49641987642,Price,negative,,-9.304419517296733,-255684.9304326386
Seasonality_Index,87570.8652947898,Seasonality,positive,,8.572438235563514,87570.8652947898
T5YIE,-64347.72899757955,Macro,unconstrained,,-6.837569708593347,-149288.27809479315
UMCSENT,2400.097685529765,Macro,unconstrained,,8.71997480964364,160132.67134955706
Gas_Price,34680.044635002334,Macro,unconstrained,,4.468837820288963,112403.69351549253
Avg Weekly Items per Store Selling,46938.69748789653,Distribution,positive,,3.1793708628307686,119754.4508495768
Median_CPI,-4835.602654036086,Macro,unconstrained,,-2.4170055308302363,-18219.93941735572
_C_COMPETITOR3__Weighted Weeks Display Only,-241422.2810802875,Competitive,negative,,-2.8674031867587404,-11379.396438356767
Unemployment_Rate,-9419.12447888823,Macro,unconstrained,,-1.8670302159880041,-38337.647999167195
