,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,274504.4439703354,(intercept),(intercept),,,274504.44397033553
ACV Weighted Distribution,801.8208290591863,Distribution,positive,yes,3.051528285638055,72099.42749350458
Price per Volume,-20768.91789808521,Price,negative,,-15.956863474656398,-226729.11860697667
Avg Weekly Items per Store Selling,31056.813556817346,Distribution,positive,,7.445214115906296,123100.02555906065
Gas_Price,16397.549772879152,Macro,unconstrained,,3.2232888845978107,53147.13918261421
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,-40028.37258761765,Competitive,negative,,-4.533052463335976,-16805.51950311082
Seasonality_Index,21328.183901370416,Seasonality,positive,,3.8035447558365756,21328.183901370412
T5YIE,6420.3829267232295,Macro,unconstrained,,1.4956789469754437,14895.442726125939
Weighted Weeks Display Only,104634.89901087,Trade,positive,,4.740329069756269,16293.089934818778
_C_COMPETITOR6__Weighted Weeks Feature Only,-8823.47506276423,Competitive,negative,,-0.9867272031404902,-1996.6283829250265
Weighted Weeks Feature and Display,55713.44196628841,Trade,positive,,2.10281754954929,1990.8747735653646
_C_COMPETITOR10__ACV Weighted Distribution,-3144.5261275230573,Competitive,negative,,-3.8155139573012176,-56916.876803135696
_C_COMPETITOR11__ACV Weighted Distribution,-3209.9312436652144,Competitive,negative,,-1.7741000171872072,-129519.85849911734
Unempclaims,-0.12474164863215265,Macro,unconstrained,,-2.161180712855971,-27866.564641065408
