,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,6159674.971112378,6159674.971112378,0.0,0.0
ACV Weighted Distribution,3751056.909349941,3862007.1191913066,110950.20984136546,2.957838617825533
Seasonality_Index,2130897.01298679,2130897.01298679,0.0,0.0
Gas_Price,-1700239.7623671002,-1573338.9491404023,126900.81322669797,7.463701063550278
Brand 0210_TTD_Instacart_Display_Spend,0.0,53387.28779089007,53387.28779089007,
SNAP_Participants,-8450494.982838472,-8584672.145389747,-134177.16255127452,-1.587802404755765
Unemployment_Rate,601206.3890366561,646296.8682144053,45090.479177749134,7.499999999999988
Weighted Weeks Display Only,88750.882395707,107484.36637675206,18733.483981045065,21.10794109913123
Brand 0210_Doordash_Spend,16125.362668430735,100564.8781733175,84439.51550488676,523.6441327933503
_C_COMPETITOR3__Weighted Weeks Price Reductions Only,-34515.545555171324,-5742.21675476258,28773.328800408744,83.36338985114999
Median_CPI,-238889.50075197732,-206239.79126419686,32649.709487780463,13.667285244854032
CFNAI,24105.44612866028,12892.510441727038,-11212.93568693324,-46.5161923454367
