,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,14274231.086457442,14274231.086457442,0.0,0.0
ACV Weighted Distribution,3599961.402625676,3898379.056698801,298417.6540731252,8.289468155282739
Price per Volume,-12143826.890636507,-11436001.444489064,707825.4461474437,5.828685244955297
Avg Weekly Items per Store Selling,6837376.814749764,5965025.843392544,-872350.9713572199,-12.758562164884083
Gas_Price,2870784.6289370446,2656517.846054833,-214266.78288221173,-7.463701063550266
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,-839627.1204195038,-908146.9079040217,-68519.7874845179,-8.160740145016193
Seasonality_Index,1109065.5628712617,1109065.5628712617,0.0,0.0
T5YIE,744035.7060377116,805090.3374793861,61054.631441674544,8.205873850707372
Weighted Weeks Display Only,823431.1554231894,871050.1977979633,47619.04237477388,5.783002265720786
_C_COMPETITOR6__Weighted Weeks Feature Only,-91727.51921442109,-115921.83260978166,-24194.313395360572,-26.376286639568058
Weighted Weeks Feature and Display,69924.01895741654,137126.9574933814,67202.93853596486,96.10851827165597
_C_COMPETITOR10__ACV Weighted Distribution,-3088498.0463800672,-2830857.141146045,257640.90523402207,8.34194813676489
_C_COMPETITOR11__ACV Weighted Distribution,-6681931.972335716,-6788133.311572488,-106201.33923677262,-1.5893807311487669
Unempclaims,-1423925.9191360225,-1474196.80353478,-50270.88439875748,-3.5304424003504136
