,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-439926.9856978535,-439926.9856978535,0.0,0.0
ACV Weighted Distribution,3668927.4785391623,4071653.804090327,402726.3255511648,10.976677187184857
Seasonality_Index,3414618.4664665447,3414618.4664665447,0.0,0.0
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,-14314.178176177717,-15551.53905890111,-1237.360882723393,-8.644302645209931
_C_COMPETITOR8__Weighted Weeks Feature Only,-26624.060404201977,-94884.98635313685,-68260.92594893486,-256.3881125290772
_C_COMPETITOR11__ACV Weighted Distribution,-525654.6825461886,-533014.7898619331,-7360.107315744506,-1.4001791594613604
_C_COMPETITOR9__Weighted Weeks Price Reductions Only,-311394.17809587554,-387972.33522228507,-76578.15712640953,-24.592032386306137
_C_COMPETITOR2__Weighted Weeks Special Pack Only,-613829.6757793125,-554186.8022718219,59642.873507490614,9.716518418854314
_C_COMPETITOR4__Weighted Weeks Price Reductions Only,-99833.57775191241,-80429.02914486192,19404.548607050485,19.436895926209328
_C_COMPETITOR4__Avg Weekly Items per Store Selling,-2721483.4663180597,-2773498.2431322467,-52014.776814186946,-1.9112655820966131
