,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-8460.134340343337,(intercept),(intercept),,,-8460.134340343338
ACV Weighted Distribution,1024.724415720912,Distribution,positive,yes,6.685158374123852,74428.66617912971
Seasonality_Index,65665.73973974124,Seasonality,positive,,9.546189903014495,65665.73973974123
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,-721.1880426459718,Competitive,negative,,-0.07664903230325301,-287.1703580296041
_C_COMPETITOR8__Weighted Weeks Feature Only,-39116.48859696216,Competitive,negative,,-2.5303489872396914,-1168.3562188205656
_C_COMPETITOR11__ACV Weighted Distribution,-280.0941526912479,Competitive,negative,,-0.6284394748494518,-10179.514157770403
_C_COMPETITOR9__Weighted Weeks Price Reductions Only,-28127.984758462888,Competitive,negative,,-4.923701420923756,-6724.678012674621
_C_COMPETITOR2__Weighted Weeks Special Pack Only,-5339232.710600706,Competitive,negative,,-5.390303971656419,-11230.9276735686
_C_COMPETITOR4__Weighted Weeks Price Reductions Only,-2435.5570255319,Competitive,negative,,-0.6334264758302469,-1733.2942970843685
_C_COMPETITOR4__Avg Weekly Items per Store Selling,-2240.749179476107,Competitive,negative,,-2.666201535014422,-52836.36259086833
