,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,3051723.352505668,3051723.352505668,0.0,0.0
ACV Weighted Distribution,2348860.3589025335,2801240.2860100754,452379.9271075418,19.259549653216034
Seasonality_Index,934037.2018259487,934037.2018259487,0.0,0.0
Price per Volume,-2645571.9571488816,-2638520.6785579994,7051.278590882197,0.2665313476667375
SNAP_Participants,-4446737.215963873,-4517342.616412116,-70605.40044824313,-1.5878024047557469
UMCSENT,643740.8781007893,569664.8605077504,-74076.01759303885,-11.507117244376845
Unemployment_Rate,493438.35783597245,530446.2346736704,37007.87683769793,7.499999999999998
Total Category Price Per Volume,975979.029118053,974968.1838826227,-1010.8452354302863,-0.10357243396343671
Brand 0210_TTD_Walmart_Audio_Spend,0.0,11810.807623029954,11810.807623029954,
Brand 0210_TTD_Instacart_Display_Spend,0.0,35129.89200204639,35129.89200204639,
