,Year 1 (Sep 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,191780.38430834172,664838.6656022513,473058.2812939096,246.66666666666669
ACV Weighted Distribution,99046.52147469515,391515.325890639,292468.8044159438,295.2842765817526
Seasonality_Index,71733.79987580913,341660.2862321306,269926.4863563215,376.28912287323163
Fedfunds,89318.62519572419,277389.158231178,188070.53303545382,210.56138361213493
Price per Volume,-351152.1140272394,-1197174.4947447265,-846022.3807174871,-240.92760570761075
Weighted Weeks Display Only,3145.140904807218,15355.5400639753,12210.399159168082,388.2305921653619
