,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,114735.52132201371,(intercept),(intercept),,,114735.52132201374
ACV Weighted Distribution,5.7164301463947105e-18,Distribution,positive,yes,-0.10300403749823092,7.979089589740164e-16
Seasonality_Index,234823.95783748003,Seasonality,positive,,16.48451995623728,234823.95783748006
Unemployment_Rate,34972.201445597755,Macro,unconstrained,,6.917343153714268,146311.58508634215
BRAND 3_Doordash_Spend,9.490565332680095,Media,positive,,9.358606432540677,23290.432412714883
Price per Volume,-56757.08144621629,Price,negative,,-7.310509252801538,-347356.62911082845
CFNAI,-21330.63012652292,Macro,unconstrained,,-4.434838916492617,3228.3088287641417
T5YIE,44586.24993233104,Macro,unconstrained,,4.309545603636247,104029.79586975725
Median_CPI,-1536.7899473641598,Macro,unconstrained,,-1.0702250486378702,-5249.552369598212
