,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-273662136.79165053,-273662136.79165053,0.0,0.0
ACV Weighted Distribution,336401865.9474169,336654848.247136,252982.29971909523,0.07520240680194057
Seasonality_Index,42546462.01701024,42546462.01701024,0.0,0.0
_C_COMPETITOR3__Avg Weekly Items per Store Selling,-42817387.168576695,-42752100.3491709,65286.819405794144,0.1524773549323616
Gas_Price,-20499457.15719427,-18969438.95533073,1530018.2018635422,7.4637010635502765
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,-181200.53585928894,-790596.7030380939,-609396.167178805,-336.310355976006
