,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,27097.529163672738,(intercept),(intercept),,,27097.529163672745
ACV Weighted Distribution,167.54886763811993,Distribution,positive,yes,1.2295152455295437,7848.152008659695
UMCSENT,-442.5278999577898,Macro,unconstrained,,-12.295056454053405,-28810.693825232687
Gas_Price,-11742.832881267888,Macro,unconstrained,,-6.909529730948968,-37545.44990076152
Brand 0210_Doordash_Spend,0.5359050542482819,Media,positive,,5.892653617117854,3446.856661073756
Seasonality_Index,17478.893270828958,Seasonality,positive,,9.34107774914347,17478.893270828958
T5YIE,14498.37561990618,Macro,unconstrained,,7.541623698412935,33827.98639650139
Brand 0210_TTD_Walmart_Audio_Spend,0.3335304406760349,Media,positive,,2.8129169366151427,3448.7558544959948
Brand 0210_Google_Ads_Spend,0.046113370136623644,Media,positive,,3.268052905656833,2012.1592415005512
