,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,188035.19938857778,(intercept),(intercept),,,188035.19938857778
ACV Weighted Distribution,1333.439162221036,Distribution,positive,yes,5.554618092792624,39628.96042622999
Price per Volume,-21963.44996619492,Price,negative,,-18.380394457666604,-155590.14365124604
PSAVERT,17757.68556464944,Macro,unconstrained,,9.304114559114188,79738.83806433932
_C_COMPETITOR6__Weighted Weeks Display Only,-98927.02131887352,Competitive,negative,,-5.352396642723643,-24559.860680581573
_C_COMPETITOR8__Avg Weekly Items per Store Selling,-3286.8071344935115,Competitive,negative,,-2.39341307344599,-16951.921389124796
Median_CPI,-4455.337407118961,Macro,unconstrained,,-4.000562465904974,-16787.14804530761
_C_COMPETITOR2__Weighted Weeks Display Only,-45395.820826438314,Competitive,negative,,-4.322188711101903,-14114.163769167244
_C_COMPETITOR2__Weighted Weeks Feature and Display,-29529.16469585383,Competitive,negative,,-1.9795562622048162,-2678.217331973543
_C_COMPETITOR2__Weighted Weeks Special Pack Only,-3493019.706827473,Competitive,negative,,-3.326452430729786,-7347.469911142995
_C_COMPETITOR7__Avg Weekly Items per Store Selling,-4071.970896133649,Competitive,negative,,-2.4416467929934824,-21906.849913553793
_C_COMPETITOR4__Weighted Weeks Feature Only,-18996.674649981214,Competitive,negative,,-1.940939711207041,-2769.2108001490606
