,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-139394.20871028287,(intercept),(intercept),,,-139394.20871028284
ACV Weighted Distribution,525.512749165661,Distribution,positive,yes,3.16415738465599,62327.55035650207
Seasonality_Index,69720.10011830636,Seasonality,positive,,8.87179673006334,69720.10011830636
Total Category Price Per Volume,7765.016895192732,Category Price,positive,,2.3923433202495,71475.97700442196
BRAND 3_Absco_Spend,6.06403943643528,Media,positive,,3.4465226769752286,4859.832426104363
Median_CPI,1197.6757625618131,Macro,unconstrained,,1.3697175287897594,4512.690846775415
CFNAI,-3154.4798841732513,Macro,unconstrained,,-1.3470683823516487,474.3852441199005
_C_COMPETITOR7__Weighted Weeks Display Only,-31923.840989201,Competitive,negative,,-2.2805688740522494,-5182.262892269968
_C_COMPETITOR2__Weighted Weeks Price Reductions Only,-10004.569554305517,Competitive,negative,,-1.4305100363860181,-4521.593455310665
BRAND 3_Amazon_Spend,3.7156809640366646,Media,positive,,2.3113053647721573,3128.4265707963827
