,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,-13879525.304664211,-13879525.304664211,0.0,0.0
ACV Weighted Distribution,4776961.628001345,4273085.679955429,-503875.9480459159,-10.548042611276633
Seasonality_Index,2613453.7829717845,2613453.7829717845,0.0,0.0
Gas_Price,-3483880.4834981076,-3223854.058798439,260026.42469966877,7.4637010635502765
BRAND 3_Doordash_Spend,27699.56510599728,143575.1921132429,115875.62700724561,418.3301310465599
Avg Weekly Items per Store Selling,2887177.4066208233,3039341.204614198,152163.79799337452,5.270330726627163
BRAND 3_Instacart_Spend,248444.42046295697,130178.80962850286,-118265.61083445411,-47.60244187173747
SNAP_Participants,11823244.150236161,12010973.905173754,187729.7549375929,1.5878024047557466
UMCSENT,-1162658.568650256,-1028870.0840038774,133788.48464637855,11.507117244376841
BRAND 3_Amazon_Spend,117317.03656067092,101317.87754418678,-15999.159016484147,-13.637541047339807
