,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,4117415.29347755,4117415.29347755,0.0,0.0
ACV Weighted Distribution,3921076.3764409944,3836176.152481643,-84900.22395935142,-2.165227498996385
Seasonality_Index,1998218.0144835045,1998218.0144835045,0.0,0.0
Price per Volume,-4504871.093964313,-4307369.622825236,197501.4711390771,4.384175862516737
_C_Competitor3__Weighted Weeks Display Only,-1633732.9121071547,-1649692.0149072183,-15959.102800063556,-0.9768489501432543
T5YIE,-2089764.3658092576,-2261247.7934446,-171483.42763534235,-8.20587385070736
Brand 1_Instacart_Spend,146182.82250758994,180688.78838615908,34505.96587856914,23.604665231291154
Brand 1_Amazon_Spend,207916.59305008536,125478.41960642784,-82438.17344365752,-39.64963653660815
