,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,50468.88519955283,(intercept),(intercept),,,50468.88519955283
ACV Weighted Distribution,225.35426814256098,Distribution,positive,yes,5.388457730308395,4408.67723397321
Weighted Weeks Display Only,125798.42027340717,Trade,positive,,14.146552269652771,2128.445956481829
Price per Volume,-338.70909206979167,Price,negative,,-5.574233334745347,-4255.14953738659
Unemployment_Rate,1899.6037244819374,Macro,unconstrained,,4.211367597076752,7731.752467050039
_C_COMPETITOR4__Avg Weekly Items per Store Selling,-905.5922504767109,Competitive,negative,,-3.136736381967523,-11879.866957849066
_C_COMPETITOR3__ACV Weighted Distribution,-151.53138942500902,Competitive,negative,,-5.898149835616179,-18122.05232388937
Gas_Price,-4632.692891096728,Macro,unconstrained,,-3.1188672531031605,-15015.314927151692
T5YIE,-4680.121328605296,Macro,unconstrained,,-4.34467610083916,-10857.993985280842
Seasonality_Index,880.2584100195086,Seasonality,positive,,3.263885628336823,880.2584100195086
_C_COMPETITOR1__Weighted Weeks Price Reductions Only,-975.8873428358861,Competitive,negative,,-2.4056665923088008,-934.5703457604194
