,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-106111.23523051974,(intercept),(intercept),,,-106111.23523051974
ACV Weighted Distribution,2233.8012226128735,Distribution,positive,yes,5.5773249129021085,180810.32380361145
Seasonality_Index,117861.15233932526,Seasonality,positive,,17.90518689515096,117861.15233932526
Unemployment_Rate,14289.500228024412,Macro,unconstrained,,6.290409107993878,58161.01390887243
Price per Volume,-21031.863092012623,Price,negative,,-4.257922108581721,-175410.55445655028
UMCSENT,344.61584616856976,Macro,unconstrained,,3.189515146036112,22992.50416725453
Gas_Price,13580.965229003888,Macro,unconstrained,,3.0973988035041224,44018.128272671725
