,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,105517.18930226074,(intercept),(intercept),,,105517.18930226074
ACV Weighted Distribution,2123.3820833449927,Distribution,positive,yes,5.676908069744024,8396.660666395788
Avg Weekly Items per Store Selling,3382.1648460329607,Distribution,positive,,9.634318858921471,13119.999993312793
Seasonality_Index,3371.972837169888,Seasonality,positive,,6.437701445104293,3371.9728371698875
Gas_Price,1317.6433336312064,Macro,unconstrained,,3.3291695807166977,4270.697428305199
Price per Volume,-691.2777920582073,Price,negative,,-4.380829776229925,-12395.583270532208
Median_CPI,-246.00759967741982,Macro,unconstrained,,-3.4480855026152284,-926.9255319376864
Unempclaims,-0.01362335472867926,Macro,unconstrained,,-2.9644098050750287,-3043.378850109666
_C_COMPETITOR1__ACV Weighted Distribution,-736.6202536670114,Competitive,negative,,-3.0267125930748273,-109445.88648173508
